season,week,position,player_id,player_display_name,actual,baseline_pred,ensemble_pred,model_pred,q10,q50,q90,baseline_error,model_error,ensemble_error,model_advantage,ensemble_advantage
2023,1,RB,00-0029239,Brandon Bolden,0.0,0.8,0.083,0.229,-0.194,0.237,2.979,0.8,0.229,0.083,0.571,0.717
2023,1,RB,00-0030513,Latavius Murray,2.7,14.55,11.835,11.67,3.475,10.808,22.736,11.85,8.97,9.135,2.88,2.715
2023,1,RB,00-0031376,Jerick McKinnon,2.0,19.55,12.111,13.621,2.52,9.707,21.207,17.55,11.621,10.111,5.929,7.439
2023,1,RB,00-0031687,Raheem Mostert,13.0,13.175,10.697,11.37,2.513,9.566,21.589,0.175,1.63,2.303,-1.455,-2.128
2023,1,RB,00-0032104,Ameer Abdullah,0.0,3.45,4.06,4.166,0.191,3.427,10.349,3.45,4.166,4.06,-0.716,-0.61
2023,1,RB,00-0032764,Derrick Henry,13.9,19.8,14.879,12.271,5.275,12.678,24.167,5.9,1.629,0.979,4.271,4.921
2023,1,RB,00-0033045,Ezekiel Elliott,7.3,9.725,9.609,8.752,2.123,6.719,20.361,2.425,1.452,2.309,0.973,0.116
2023,1,RB,00-0033280,Christian McCaffrey,25.9,21.95,16.865,16.679,5.712,13.786,25.726,3.95,9.221,9.035,-5.271,-5.085
2023,1,RB,00-0033293,Aaron Jones,26.7,11.775,11.6,12.267,3.336,11.183,22.389,14.925,14.433,15.1,0.492,-0.175
2023,1,RB,00-0033308,Matt Breida,1.6,5.45,6.286,7.108,0.793,5.32,16.355,3.85,5.508,4.686,-1.658,-0.836
2023,1,RB,00-0033526,Samaje Perine,11.8,5.3,9.215,8.266,1.317,6.867,17.349,6.5,3.534,2.585,2.966,3.915
2023,1,RB,00-0033553,James Conner,12.0,20.125,14.887,13.703,5.515,10.547,22.488,8.125,1.703,2.887,6.422,5.238
2023,1,RB,00-0033699,Austin Ekeler,26.4,20.0,13.724,13.865,6.189,11.807,23.981,6.4,12.535,12.676,-6.135,-6.276
2023,1,RB,00-0033893,Dalvin Cook,8.9,11.7,11.123,11.126,3.217,10.415,22.81,2.8,2.226,2.223,0.574,0.577
2023,1,RB,00-0033897,Joe Mixon,10.3,14.65,11.716,11.006,3.437,9.826,23.186,4.35,0.706,1.416,3.644,2.934
2023,1,RB,00-0033925,D'Onta Foreman,4.4,8.425,8.603,8.701,1.487,7.29,19.246,4.025,4.301,4.203,-0.276,-0.178
2023,1,RB,00-0033948,Jamaal Williams,7.2,12.15,10.015,9.795,1.992,8.937,21.514,4.95,2.595,2.815,2.355,2.135
2023,1,RB,00-0034184,Gus Edwards,5.2,4.3,6.346,6.234,0.394,4.92,15.808,0.9,1.034,1.146,-0.134,-0.246
2023,1,RB,00-0034208,Mike Boone,4.8,3.05,5.448,4.826,0.31,3.677,13.506,1.75,0.026,0.648,1.724,1.102
2023,1,RB,00-0034414,Boston Scott,2.0,3.0,4.793,4.631,0.56,3.681,14.16,1.0,2.631,2.793,-1.631,-1.793
2023,1,RB,00-0034681,Chase Edmonds,0.8,5.675,7.801,8.036,0.796,6.29,17.673,4.875,7.236,7.001,-2.361,-2.126
2023,1,RB,00-0034791,Nick Chubb,16.7,14.225,14.011,14.372,4.212,11.697,25.235,2.475,2.328,2.689,0.147,-0.214
2023,1,RB,00-0034844,Saquon Barkley,9.3,16.1,14.225,14.184,4.773,14.085,24.235,6.8,4.884,4.925,1.916,1.875
2023,1,RB,00-0034972,Alexander Mattison,13.4,6.575,6.478,6.541,0.786,5.066,18.034,6.825,6.859,6.922,-0.034,-0.097
2023,1,RB,00-0034975,Justice Hill,12.9,1.9,5.321,5.211,0.247,3.081,13.397,11.0,7.689,7.579,3.311,3.421
2023,1,RB,00-0035243,Miles Sanders,11.8,4.35,8.934,9.144,1.933,8.51,18.561,7.45,2.656,2.866,4.794,4.584
2023,1,RB,00-0035250,Devin Singletary,1.5,9.5,10.598,10.839,2.033,9.008,20.18,8.0,9.339,9.098,-1.339,-1.098
2023,1,RB,00-0035261,Tony Pollard,22.2,13.175,11.126,10.501,2.123,8.851,21.969,9.025,11.699,11.074,-2.674,-2.049
2023,1,RB,00-0035291,Trayveon Williams,0.7,0.45,2.686,3.227,0.091,1.809,9.951,0.25,2.527,1.986,-2.277,-1.736
2023,1,RB,00-0035594,Travis Homer,0.0,5.925,0.505,-0.066,-0.16,-0.03,4.239,5.925,0.066,0.505,5.859,5.42
2023,1,RB,00-0035628,D'Ernest Johnson,-0.4,0.0,2.269,3.361,0.111,1.603,10.674,0.4,3.761,2.669,-3.361,-2.269
2023,1,RB,00-0035657,Damien Harris,3.9,6.75,8.222,7.901,1.035,6.5,17.834,2.85,4.001,4.322,-1.151,-1.472
2023,1,RB,00-0035685,David Montgomery,13.4,10.55,10.135,10.132,2.274,9.411,21.293,2.85,3.268,3.265,-0.418,-0.415
2023,1,RB,00-0035700,Josh Jacobs,9.1,11.375,13.606,13.759,5.678,12.344,24.044,2.275,4.659,4.506,-2.384,-2.231
2023,1,RB,00-0035860,Tony Jones,0.5,3.15,4.235,5.16,0.301,3.558,13.721,2.65,4.66,3.735,-2.01,-1.085
2023,1,RB,00-0035973,Patrick Taylor,2.2,1.45,3.589,3.211,0.124,2.566,11.856,0.75,1.011,1.389,-0.261,-0.639
2023,1,RB,00-0036020,Salvon Ahmed,1.1,3.225,3.969,4.645,0.289,3.218,11.612,2.125,3.545,2.869,-1.42,-0.744
2023,1,RB,00-0036139,Rico Dowdle,2.4,0.0,3.389,3.362,0.109,2.067,12.543,2.4,0.962,0.989,1.438,1.411
